epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix
60,0.8364342868328094,0.6938775510204082,0.28,0.3083303624480095,0.27806232934751907,0.23735034365878918,"[0.058823529411764705, 0.7272727272727273, 0.2222222222222222, 0.2, 0.3333333333333333]","[[1, 11, 2, 3, 0], [0, 8, 0, 3, 0], [0, 6, 2, 1, 0], [1, 6, 0, 2, 1], [1, 1, 0, 0, 1]]"
61,0.8698448181152344,0.6870748299319728,0.36,0.319263220439691,0.3048868778280543,0.3532217194570136,"[0.5882352941176471, 0.36363636363636365, 0.1111111111111111, 0.2, 0.3333333333333333]","[[10, 1, 1, 4, 1], [2, 4, 0, 3, 2], [4, 1, 1, 1, 2], [6, 0, 1, 2, 1], [1, 0, 1, 0, 1]]"
62,0.8161742687225342,0.7142857142857143,0.34,0.28942364824717765,0.2647222222222222,0.3151666666666667,"[0.4117647058823529, 0.09090909090909091, 0.4444444444444444, 0.5, 0.0]","[[7, 0, 3, 7, 0], [5, 1, 0, 5, 0], [1, 0, 4, 4, 0], [4, 0, 1, 5, 0], [1, 0, 1, 1, 0]]"
63,0.9165649592876435,0.6666666666666666,0.2,0.23616161616161616,0.160647848883143,0.1453487035839977,"[0.0, 0.6363636363636364, 0.1111111111111111, 0.1, 0.3333333333333333]","[[0, 10, 1, 3, 3], [0, 7, 0, 3, 1], [1, 5, 1, 0, 2], [1, 3, 1, 1, 4], [1, 0, 1, 0, 1]]"
64,0.7871816337108613,0.8231292517006803,0.32,0.2589661319073084,0.2465926603108267,0.3006169518088024,"[0.47058823529411764, 0.09090909090909091, 0.3333333333333333, 0.4, 0.0]","[[8, 1, 1, 7, 0], [5, 1, 0, 5, 0], [2, 0, 3, 4, 0], [5, 0, 1, 4, 0], [1, 0, 1, 1, 0]]"
65,0.8519803941249847,0.6598639455782312,0.42,0.28737967914438506,0.2370170709793351,0.3257861635220125,"[0.8823529411764706, 0.45454545454545453, 0.0, 0.1, 0.0]","[[15, 2, 0, 0, 0], [4, 5, 0, 2, 0], [6, 2, 0, 1, 0], [8, 1, 0, 1, 0], [3, 0, 0, 0, 0]]"
66,0.7648159980773925,0.7551020408163265,0.22,0.26226975638740346,0.20607627666451195,0.1730144365438483,"[0.058823529411764705, 0.36363636363636365, 0.5555555555555556, 0.0, 0.3333333333333333]","[[1, 6, 8, 1, 1], [0, 4, 5, 2, 0], [1, 3, 5, 0, 0], [1, 2, 6, 0, 1], [1, 0, 1, 0, 1]]"
67,0.8196866989135743,0.6666666666666666,0.36,0.3984670231729055,0.30238531752223435,0.3242982524574817,"[0.35294117647058826, 0.2727272727272727, 0.0, 0.7, 0.6666666666666666]","[[6, 2, 0, 7, 2], [2, 3, 0, 4, 2], [2, 1, 0, 4, 2], [1, 0, 0, 7, 2], [1, 0, 0, 0, 2]]"
68,0.8400728702545166,0.5238095238095238,0.38,0.2404040404040404,0.17794871794871794,0.25051282051282053,"[1.0, 0.09090909090909091, 0.1111111111111111, 0.0, 0.0]","[[17, 0, 0, 0, 0], [10, 1, 0, 0, 0], [8, 0, 1, 0, 0], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
69,1.1641022920608521,0.5986394557823129,0.22,0.3006060606060606,0.1680952380952381,0.1410952380952381,"[0.0, 0.6363636363636364, 0.0, 0.2, 0.6666666666666666]","[[0, 9, 0, 4, 4], [0, 7, 0, 3, 1], [0, 5, 0, 2, 2], [1, 3, 0, 2, 4], [1, 0, 0, 0, 2]]"
70,0.9517676174640656,0.7551020408163265,0.28,0.3250505050505051,0.24398268398268397,0.21833766233766233,"[0.0, 0.6363636363636364, 0.5555555555555556, 0.1, 0.3333333333333333]","[[0, 6, 3, 5, 3], [0, 7, 0, 3, 1], [0, 3, 5, 1, 0], [0, 3, 3, 1, 3], [0, 0, 1, 1, 1]]"
71,0.7620182931423187,0.7006802721088435,0.34,0.24799762329174097,0.23495035460992905,0.30181560283687947,"[0.6470588235294118, 0.18181818181818182, 0.1111111111111111, 0.3, 0.0]","[[11, 1, 0, 5, 0], [4, 2, 0, 5, 0], [5, 1, 1, 2, 0], [7, 0, 0, 3, 0], [3, 0, 0, 0, 0]]"
72,0.815978741645813,0.5510204081632653,0.44,0.36672608437314314,0.34658047834518424,0.37081318681318687,"[0.8235294117647058, 0.45454545454545453, 0.2222222222222222, 0.0, 0.3333333333333333]","[[14, 2, 0, 0, 1], [6, 5, 0, 0, 0], [5, 2, 2, 0, 0], [8, 1, 1, 0, 0], [1, 0, 1, 0, 1]]"
73,0.8131074965000152,0.7891156462585034,0.28,0.27494949494949494,0.19136363636363635,0.19572727272727275,"[0.0, 0.36363636363636365, 0.1111111111111111, 0.9, 0.0]","[[0, 3, 1, 13, 0], [0, 4, 0, 7, 0], [0, 2, 1, 6, 0], [1, 0, 0, 9, 0], [0, 0, 0, 3, 0]]"
74,0.881471049785614,0.6326530612244898,0.4,0.3641117052881758,0.3409090909090909,0.35621212121212126,"[0.5882352941176471, 0.45454545454545453, 0.4444444444444444, 0.0, 0.3333333333333333]","[[10, 5, 1, 0, 1], [6, 5, 0, 0, 0], [3, 2, 4, 0, 0], [7, 1, 1, 0, 1], [1, 0, 1, 0, 1]]"
75,0.7262463569641113,0.8027210884353742,0.34,0.34584670231729053,0.345748987854251,0.319746963562753,"[0.23529411764705882, 0.7272727272727273, 0.3333333333333333, 0.1, 0.3333333333333333]","[[4, 10, 1, 2, 0], [0, 8, 0, 3, 0], [1, 5, 3, 0, 0], [3, 4, 2, 1, 0], [1, 0, 1, 0, 1]]"
76,0.820050710439682,0.6598639455782312,0.34,0.2333452168746286,0.20787878787878786,0.2733939393939394,"[0.7647058823529411, 0.09090909090909091, 0.1111111111111111, 0.2, 0.0]","[[13, 0, 0, 4, 0], [7, 1, 0, 3, 0], [7, 0, 1, 1, 0], [8, 0, 0, 2, 0], [3, 0, 0, 0, 0]]"
77,0.7225558638572693,0.8095238095238095,0.24,0.27014854426619134,0.21445970695970695,0.20995695970695974,"[0.058823529411764705, 0.6363636363636364, 0.2222222222222222, 0.1, 0.3333333333333333]","[[1, 7, 1, 5, 3], [0, 7, 0, 3, 1], [0, 4, 2, 2, 1], [1, 3, 1, 1, 4], [1, 0, 1, 0, 1]]"
78,0.6718445360660553,0.7619047619047619,0.42,0.28500297088532384,0.25611405835543766,0.33685543766578246,"[0.9411764705882353, 0.2727272727272727, 0.1111111111111111, 0.1, 0.0]","[[16, 1, 0, 0, 0], [6, 3, 0, 2, 0], [7, 1, 1, 0, 0], [9, 0, 0, 1, 0], [3, 0, 0, 0, 0]]"
79,0.6940283089876175,0.7891156462585034,0.34,0.3364943553178847,0.3406107406107407,0.3333932373932374,"[0.4117647058823529, 0.18181818181818182, 0.5555555555555556, 0.2, 0.3333333333333333]","[[7, 1, 2, 6, 1], [3, 2, 2, 4, 0], [3, 1, 5, 0, 0], [6, 0, 2, 2, 0], [1, 0, 1, 0, 1]]"
80,0.7598488569259644,0.8163265306122449,0.38,0.2803208556149733,0.25342563371678717,0.32948386439987787,"[0.6470588235294118, 0.45454545454545453, 0.0, 0.3, 0.0]","[[11, 2, 0, 4, 0], [3, 5, 0, 3, 0], [6, 1, 0, 2, 0], [7, 0, 0, 3, 0], [3, 0, 0, 0, 0]]"
