group,tensor,shape,dtype,bytes,sha256
G0286,tensors/G0286.pt,"96,3,224,224",uint8,14452187,5e83ad9407ed5ad41f249f6e61a37e29b5ab5c3c1e3eba59bdf64b4ca6f9c4e5
G0289,tensors/G0289.pt,"96,3,224,224",uint8,14452187,cf2b50c3664b23059af02c0bf2d1844bbc972dca982def027d9c7e53b1cd1e3b
G0290,tensors/G0290.pt,"96,3,224,224",uint8,14452187,1385c340bee8a367c2070dd0ef59af47aaf8fea98dbc6da4c9abaa40ffd60e7e
G0293,tensors/G0293.pt,"96,3,224,224",uint8,14452187,bd9c48fe76ab5e66b87305854ccd7953be03546dce6eaf7d40553ce35e83a961
G0294,tensors/G0294.pt,"96,3,224,224",uint8,14452187,66fec6a746c0bc626f32a34630160780d43e1692cc3cfa489f7b18e39f3fe5c7
G0295,tensors/G0295.pt,"96,3,224,224",uint8,14452187,3c7fc9af03003a4718d51b94c1ec4baef525a0874cd6e6d1c40b32d5f74a22a1
G0296,tensors/G0296.pt,"96,3,224,224",uint8,14452187,bc51169c71f32d70f9b367ab823be8db1d7e0fdae16461cf80babd84503751c5
G0297,tensors/G0297.pt,"96,3,224,224",uint8,14452187,32b1ffda484ca48357094040d02df7392062ea085965b565aa237d5a5be7a718
G0300,tensors/G0300.pt,"96,3,224,224",uint8,14452187,4f24ff51e87b21a21f3b56cc7528ab50049fa2e2319458c827b5a4f40193a52a
G0301,tensors/G0301.pt,"96,3,224,224",uint8,14452187,6a7b28e002a9ae9bde23980ae70e0725ef8077803fe5657be44ae83b220321c4
G0303,tensors/G0303.pt,"96,3,224,224",uint8,14452187,dce2d594413d6b4d412fda3603be7ebec9612c6598ad3d9ee4c1067c051231c8
G0304,tensors/G0304.pt,"96,3,224,224",uint8,14452187,dbb128770d38b8303fb6a05a0202a556a90a8aa78d04b16a3dd08e06c3c52aa0
G0307,tensors/G0307.pt,"96,3,224,224",uint8,14452187,029aa1e5a9df2c98b1129b051e353d21603023ec484da05ce2f759c009e538c4
G0309,tensors/G0309.pt,"96,3,224,224",uint8,14452187,b97039b980f0aa76a3fa0f96ba7f247a8b68981b2644ec263368937e2020b5f0
G0312,tensors/G0312.pt,"96,3,224,224",uint8,14452187,100cf88c09e15cea0fed0a29b309f5040385405456952f00d5755b06f0d97ada
G0315,tensors/G0315.pt,"96,3,224,224",uint8,14452187,c84a4abc7daf685012aeb3e0ca97dcded4ab4fe23ccb765eeae81f231c9a7083
G0316,tensors/G0316.pt,"96,3,224,224",uint8,14452187,26bbe42d5abbc325514d1621002302d1fb1579873b536ca2c06ae8fa74b91b86
G0317,tensors/G0317.pt,"96,3,224,224",uint8,14452187,2a1a511fb82853016b9b5d6222ce2c36e88aa0c6d8c0529b09d82371f50b3e57
G0318,tensors/G0318.pt,"96,3,224,224",uint8,14452187,d7bd5a9b091595c6fa4cbf8ba39731cf79aa7c33457f2ff57b55969d8acfb4c7
G0320,tensors/G0320.pt,"96,3,224,224",uint8,14452187,4b8cf5d975dc75ae1c72d8d7ab63df8d2682db9b0400aeb7fc7c2492594285ff
G0321,tensors/G0321.pt,"96,3,224,224",uint8,14452187,9ca9d79fd4245dc33e9d4e0fe264de2a83e49ae50ea26f9949bc1f5ee226b931
G0322,tensors/G0322.pt,"96,3,224,224",uint8,14452187,a40f9890b477c27b112a3b9b74f7d7881174c2f57ecf521b4ee5392a77fb06e7
